dT,import_price,export_price,pv,pd
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.58,0.99
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.41,0.93
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0.23,0.91
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.87
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.75
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.65
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
0.083,0,0,0,0.55
